Month,Day,Avg_Occupancy,Occupancy_rate,Marchket_Share,Bookable_Search
January,Sun,37,0.37248,0.1,4.422716926
January,Mon,30,0.29592,0.1,3.330121258
January,Tue,32,0.32038,0.1,3.665713461
January,Wed,36,0.355,0.1,4.16194776
January,Thu,39,0.39445,0.1,4.760968944
January,Fri,47,0.473525,0.1,6.089106796
January,Sat,51,0.5088,0.1,6.747346458
February,Sun,39,0.38645,0.1,4.636400226
February,Mon,30,0.297575,0.1,3.352457444
February,Tue,30,0.303675,0.1,3.435241099
February,Wed,33,0.334425,0.1,3.863913799
February,Thu,41,0.414125,0.1,5.074470445
February,Fri,63,0.629475,0.1,9.423210905
February,Sat,67,0.6656,0.1,10.39684925
March,Sun,44,0.442725,0.1,5.549483513
March,Mon,38,0.3765,0.1,4.483714899
March,Tue,38,0.378025,0.1,4.50695763
March,Wed,39,0.38776,0.1,4.656686743
March,Thu,47,0.46902,0.1,6.00823676
March,Fri,70,0.6989,0.1,11.39243516
March,Sat,70,0.700075,0.1,11.42954577
April,Sun,43,0.43132,0.1,5.357200368
April,Mon,36,0.35615,0.1,4.178885197
April,Tue,38,0.377225,0.1,4.494757625
April,Wed,43,0.4255,0.1,5.260558742
April,Thu,54,0.540425,0.1,7.378979922
April,Fri,74,0.742575,0.1,12.87984265
April,Sat,75,0.752,0.1,13.23386208
May,Sun,50,0.49605,0.1,6.504127451
May,Mon,36,0.36302,0.1,4.280702484
May,Tue,37,0.36604,0.1,4.325808536
May,Wed,43,0.42922,0.1,5.322216098
May,Thu,56,0.5598,0.1,7.787795122
May,Fri,70,0.6965,0.1,11.31708269
May,Sat,72,0.71575,0.1,11.93901851
June,Sun,51,0.514125,0.1,6.850800656
June,Mon,45,0.453475,0.1,5.734360951
June,Tue,46,0.460825,0.1,5.86287075
June,Wed,52,0.521425,0.1,6.994483047
June,Thu,58,0.58132,0.1,8.263516637
June,Fri,64,0.6436,0.1,9.792108333
June,Sat,69,0.685025,0.1,10.96484771
July,Sun,48,0.48486,0.1,6.29568455
July,Mon,45,0.44568,0.1,5.599945463
July,Tue,45,0.451725,0.1,5.704018145
July,Wed,48,0.480625,0.1,6.217975579
July,Thu,54,0.537825,0.1,7.325435595
July,Fri,59,0.591175,0.1,8.489594814
July,Sat,60,0.60238,0.1,8.753359813
August,Sun,53,0.529433333,0.1,7.154650222
August,Mon,47,0.468533333,0.1,5.99954162
August,Tue,58,0.584533333,0.1,8.336641929
August,Wed,68,0.675333333,0.1,10.67720917
August,Thu,77,0.766466667,0.1,13.80432174
August,Fri,82,0.8193,0.1,16.23869313
August,Sat,76,0.7637,0.1,13.69254019
September,Sun,45,0.44785,0.1,5.637173725
September,Mon,32,0.32055,0.1,3.66808789
September,Tue,34,0.3383,0.1,3.919333494
September,Wed,38,0.382875,0.1,4.581257783
September,Thu,56,0.55912,0.1,7.773144847
September,Fri,83,0.83302,0.1,16.9881594
September,Sat,82,0.8196,0.1,16.25446364
October,Sun,45,0.4514,0.1,5.698393717
October,Mon,34,0.34202,0.1,3.972842584
October,Tue,36,0.360275,0.1,4.239888916
October,Wed,39,0.38765,0.1,4.654981626
October,Thu,50,0.501775,0.1,6.612567264
October,Fri,64,0.64425,0.1,9.809434166
October,Sat,75,0.75336,0.1,13.28605395
November,Sun,42,0.419275,0.1,5.158269705
November,Mon,30,0.296375,0.1,3.336256785
November,Tue,29,0.29114,0.1,3.265903085
November,Wed,34,0.33652,0.1,3.893836
November,Thu,57,0.5687,0.1,7.981655842
November,Fri,83,0.831775,0.1,16.91765553
November,Sat,81,0.814675,0.1,15.99882297
December,Sun,43,0.4264,0.1,5.275439155
December,Mon,37,0.366975,0.1,4.339817059
December,Tue,38,0.3791,0.1,4.523376121
December,Wed,39,0.38585,0.1,4.627123149
December,Thu,41,0.40746,0.1,4.967106458
December,Fri,50,0.5006,0.1,6.590209784
December,Sat,54,0.54064,0.1,7.383421178
